utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",685
Never paid,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member",No,565
Frequently late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",668
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, actively used",634
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, actively used",686
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,"Yes, once","Yes, active member",No,706
Frequently late,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",667
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",798
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",811
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",682
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",706
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",630
Always on time,"Yes, but refunded",No,No,1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",747
Always on time,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",661
Occasionally late,"Yes, but refunded","Yes, once",No,Less than 6 months,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",587
Always on time,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,No,No,701
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, rarely used",660
Never paid,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",581
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",729
Always on time,"Yes, but refunded",No,No,Over 3 years,No,Live with family/friends,No,No,No,659
Occasionally late,"Yes, not refunded",No,No,6 months to 1 year,No,Rent,No,No,"Yes, rarely used",598
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, rarely used",641
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, actively used",738
Never paid,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",640
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",762
Always on time,No,No,No,Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",735
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",701
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",575
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",741
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, rarely used",767
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",810
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",724
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Live with family/friends,No,"Yes, inactive member","Yes, rarely used",739
Frequently late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",658
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,No,No,723
Always on time,"Yes, but refunded",No,No,6 months to 1 year,No,Own,"Yes, once",No,"Yes, rarely used",648
Always on time,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",673
Frequently late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",703
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, rarely used",679
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,No,"Yes, rarely used",713
Always on time,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",734
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",645
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Live with family/friends,"Yes, once",No,"Yes, rarely used",632
Occasionally late,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",662
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",715
Always on time,"Yes, not refunded",No,No,Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, actively used",635
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",658
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",680
Always on time,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",662
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Own,"Yes, once",No,"Yes, actively used",726
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,"Yes, more than once",No,"Yes, actively used",729
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",712
Occasionally late,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",759
Always on time,No,"Yes, more than once","Yes, sufficient",Over 3 years,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, rarely used",631
Occasionally late,"Yes, but refunded","Yes, once",No,Over 3 years,"Yes, occasionally",Own,No,"Yes, active member",No,627
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",753
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",773
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",684
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",708
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,No,825
Occasionally late,No,No,No,6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, rarely used",718
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Live with family/friends,No,No,"Yes, actively used",724
Always on time,No,No,No,Over 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",773
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",721
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",587
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,"Yes, once",No,"Yes, actively used",643
Occasionally late,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, rarely used",681
Occasionally late,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",670
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",749
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",697
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, more than once",No,"Yes, actively used",605
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,No,"Yes, actively used",671
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",775
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member",No,741
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",719
Never paid,No,No,No,1 to 3 years,No,Live with family/friends,No,No,"Yes, rarely used",587
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, rarely used",705
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",744
Always on time,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",699
Never paid,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",659
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",720
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",758
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Rent,"Yes, once","Yes, inactive member",No,613
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",681
Always on time,No,No,No,Less than 6 months,No,Live with family/friends,No,"Yes, active member","Yes, rarely used",686
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",691
Always on time,No,No,No,Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",790
Always on time,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",718
Always on time,"Yes, but refunded",No,No,6 months to 1 year,"Yes, regularly",Rent,"Yes, more than once",No,"Yes, actively used",647
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",747
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",722
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",768
Occasionally late,No,No,No,Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",750
Never paid,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",580
Occasionally late,"Yes, not refunded",No,No,Over 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, rarely used",651
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",701
Always on time,No,No,No,Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",659
Never paid,No,No,No,Over 3 years,No,Rent,No,No,"Yes, actively used",614
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,"Yes, active member","Yes, rarely used",749
Always on time,No,No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",699
Always on time,No,No,No,Over 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",773
Occasionally late,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",700
Occasionally late,No,"Yes, once",No,6 months to 1 year,No,Own,No,No,"Yes, actively used",620
Always on time,No,No,No,6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",734
Always on time,No,No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",651
Never paid,No,No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",642
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",671
Occasionally late,No,No,No,Over 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",721
Occasionally late,No,No,No,Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",720
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,No,Own,No,No,"Yes, actively used",671
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",735
Always on time,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",698
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",770
Frequently late,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",605
Frequently late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",618
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",743
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",705
Frequently late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,"Yes, more than once","Yes, inactive member","Yes, rarely used",571
Occasionally late,No,No,No,Less than 6 months,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",634
Frequently late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",669
Always on time,"Yes, not refunded",No,No,6 months to 1 year,No,Own,No,No,"Yes, actively used",654
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",741
Occasionally late,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",667
Occasionally late,No,"Yes, once",No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",582
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",658
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,"Yes, active member",No,652
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",744
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, rarely used",738
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,"Yes, once","Yes, active member","Yes, actively used",709
Never paid,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, rarely used",635
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",720
Occasionally late,"Yes, not refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, rarely used",569
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,"Yes, once",No,"Yes, rarely used",651
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",692
Never paid,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",689
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",739
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",680
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",671
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",751
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",729
Frequently late,"Yes, but refunded",No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",569
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,No,"Yes, actively used",653
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,"Yes, once","Yes, active member","Yes, actively used",757
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,No,724
Occasionally late,"Yes, but refunded",No,No,1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, rarely used",662
